Year,Month,Section,Amount
20/21,Nov,Early,40
20/21,Dec,Early,45
20/21,Jan,Mid,99
20/21,Feb,Mid,51
20/21,Mar,Mid,62
20/21,Apr,Late,9
19/20,Nov,Early,47
19/20,Dec,Early,113
19/20,Jan,Mid,54
19/20,Feb,Mid,2
19/20,Mar,Mid,153
19/20,Apr,Late,27
18/19,Nov,Early,55
18/19,Dec,Early,44
18/19,Jan,Mid,158
18/19,Feb,Mid,313
18/19,Mar,Mid,88
18/19,Apr,Late,61
17/18,Nov,Early,50
17/18,Dec,Early,10
17/18,Jan,Mid,44
17/18,Feb,Mid,43
17/18,Mar,Mid,227
17/18,Apr,Late,22
16/17,Nov,Early,62
16/17,Dec,Early,36
16/17,Jan,Mid,278
16/17,Feb,Mid,196
16/17,Mar,Mid,82
16/17,Apr,Late,57
15/16,Nov,Early,57
15/16,Dec,Early,130
15/16,Jan,Mid,102
15/16,Feb,Mid,43
15/16,Mar,Mid,131
15/16,Apr,Late,28
14/15,Nov,Early,22
14/15,Dec,Early,83
14/15,Jan,Mid,5
14/15,Feb,Mid,43
14/15,Mar,Mid,24
14/15,Apr,Late,35
13/14,Nov,Early,4.5
13/14,Dec,Early,28
13/14,Jan,Mid,12.5
13/14,Feb,Mid,50.5
13/14,Mar,Mid,51.5
13/14,Apr,Late,46
12/13,Nov,Early,61
12/13,Dec,Early,152
12/13,Jan,Mid,16
12/13,Feb,Mid,12
12/13,Mar,Mid,38
12/13,Apr,Late,1
11/12,Nov,Early,16
11/12,Dec,Early,2
11/12,Jan,Mid,56
11/12,Feb,Mid,60
11/12,Mar,Mid,167
11/12,Apr,Late,46
10/11,Nov,Early,118
10/11,Dec,Early,162
10/11,Jan,Mid,15
10/11,Feb,Mid,149
10/11,Mar,Mid,241
10/11,Apr,Late,98
09/10,Nov,Early,18
09/10,Dec,Early,130
09/10,Jan,Mid,117
09/10,Feb,Mid,62
09/10,Mar,Mid,101
09/10,Apr,Late,102
08/09,Nov,Early,31
08/09,Dec,Early,120
08/09,Jan,Mid,40
08/09,Feb,Mid,127
08/09,Mar,Mid,122
08/09,Apr,Late,34
07/08,Nov,Early,8
07/08,Dec,Early,82
07/08,Jan,Mid,191
07/08,Feb,Mid,94
07/08,Mar,Mid,25
07/08,Apr,Late,10
06/07,Nov,Early,37
06/07,Dec,Early,81
06/07,Jan,Mid,10
06/07,Feb,Mid,134
06/07,Mar,Mid,28
06/07,Apr,Late,62